title,author,year,link
テレビゲームにおける個人差の研究 (1),['西方毅， ニシカタツヨシ'],2011,https://mejiro.repo.nii.ac.jp/record/1021/files/KJ00007071820.pdf
誰も書けなかったディープ・ステートのシン・真実,['宮崎正弘'],2023,N/A
山田広野の活弁半生劇場: 活弁映画監督のつくりかた,['山田広野'],2009,N/A
ジェンダー・ハイブリッド・モンスターーエイリアン・フェミニズム 2,['内田樹'],NA,https://core.ac.uk/download/pdf/229144362.pdf
太陽王と月の王,['澁澤龍彦'],2006,N/A
仮想空間におけるプロテウス効果は初期の脳活動を変調させる,['岩﨑正紘， 横田悠右， 成瀬康'],2023,https://www.jstage.jst.go.jp/article/his/25/3/25_273/_pdf
新日本プロレス英語入門 (新日本プロレス公式ブック),['クリス・チャールトン， 濱崎潤之輔'],2021,N/A
路地裏の迷宮踏査,['杉江松恋'],2014,N/A
詩人 DH LAWRENCE,['寺本喜一'],1931,https://www.jstage.jst.go.jp/article/elsjp/11/3/11_KJ00006927594/_pdf
基礎からはじめるインド占星術入門,['本多信明'],2010,N/A
