title,author,year,link
コンピュータ画像処理 (改訂 2 版),['田村秀行， 斎藤英雄'],2022,N/A
画像処理によるコンクリ-ト構造物の高精度なひび割れ自動抽出,['藤田悠介， 中村秀明， 浜本義彦'],2010,https://www.jstage.jst.go.jp/article/jscejf/66/3/66_3_459/_pdf
確率モデルによる画像処理技術入門,['田中和之'],2006,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=84f5d180ad5406b2b1b549aa6d8eb69f9796131b
画像処理に基づく流れの三次元計測に関する研究,['西野耕一， 笠木伸英， 平田賢， 佐田豊'],1989,https://www.jstage.jst.go.jp/article/kikaib1979/55/510/55_510_404/_pdf
画像処理工学,['村上伸一'],2004,N/A
画像処理と色空間,['平井経太'],2017,https://www.jstage.jst.go.jp/article/itej/71/5/71_306/_pdf
画像処理による 3 次元眼球運動計測,['坂下祐輔， 藤吉弘亘， 平田豊'],2006,http://mprg.jp/data/MPRG/F_group/F040_sakashita2006.pdf
医用画像処理,['尾上守夫'],1982,N/A
交通流解析のためのビデオ画像処理システム TrafficAnalyzer の開発と性能検証,['鈴木一史， 中村英樹'],2006,https://www.jstage.jst.go.jp/article/jscejd/62/3/62_3_276/_pdf
C 言語で学ぶ実践画像処理∼ Windows Macintosh X-Window 対応∼,['井上誠喜， 八木伸行， 林正樹， 中須英輔， 三谷公二'],2000,N/A
LLVE: トップダウン・セグメンテーションのための画像処理エキスパートシステム,['松山隆司， 尾崎正治'],1986,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=15695&item_no=1&attribute_id=1&file_no=1
画像処理による顔検出と顔認識,['岩井儀雄， 勞世竑， 山口修， 平山高嗣'],2005,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=52376&item_no=1&attribute_id=1&file_no=1
プレゼン先生: 音声情報処理と画像情報処理を用いたプレゼンテーションのトレーニングシステム,['栗原一貴， 後藤真孝， 緒方淳， 松坂要佐'],2006,https://www.wiss.org/WISS2006Proceedings/papers/A_Presentation_Training_System_using/presensensei_cameraready_color.pdf
画像処理研究用標準画像データベース SIDBA の運用について,['坂内正夫， 大沢裕， 曽根光男， 尾上守夫'],1984,https://www.jstage.jst.go.jp/article/tvtr/8/38/8_KJ00001965452/_pdf
画像処理の基礎,['梅田和昇'],2006,https://www.jstage.jst.go.jp/article/jjspe1986/72/5/72_5_583/_pdf
画像処理用のプロセッサ,['天満勉'],1984,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=5958&item_no=1&attribute_id=1&file_no=1
3 次元画像処理入門,['村上伸一'],2010,N/A
画像処理,['高木幹雄'],1977,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=59510&item_no=1&attribute_id=1&file_no=1
画像処理による読唇の試み,['松岡清利， 古谷忠義， 黒須顕二'],1986,N/A
並列処理マシン: 画像処理マシン,['前田明'],1987,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=5500&item_no=1&attribute_id=1&file_no=1
